"","popThymWT.Age","popThymWT.OrganWeight"
"1","18",0.041
"2","18",0.066
"4","14",0.074
"5","18",0.068
"6","18",0.096
"7","18",0.074
"8","56",0.098
"9","56",0.079
"10","56",0.069
"11","7",0.016
"12","18",0.072
"13","56",0.045
"14","56",0.066
"15","12",0.059
"16","14",0.058
"17","14",0.053
"18","14",0.085
"19","14",0.077
"20","18",0.083
"21","12",0.088
"22","7",0.01
"23","7",0.009
"24","4",0.015
"25","9",0.033
"26","9",0.034
"27","9",0.032
"28","9",0.041
"29","4",0.017
"30","4",0.012
"31","0",0.002
"32","0",0.001
"33","0",0.003
"34","0",0.003
